"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 27 08:03:29 UTC 2024","Wed Mar 27 08:03:30 UTC 2024","741","chromium","stage - Version: 1.0.0, Commit: undefined","stage - guardian redirects > download redirects","","","Verify redirect for https://stage.guardian.nonprod.cloudops.mozgcp.net/r/vpn/download/linux, C1539669",""
"passed","Wed Mar 27 08:03:46 UTC 2024","Wed Mar 27 08:03:48 UTC 2024","2354","firefox","stage - Version: 1.0.0, Commit: undefined","stage - guardian redirects > download redirects","","","Verify redirect for https://stage.guardian.nonprod.cloudops.mozgcp.net/r/vpn/download/macos, C1539669",""
"passed","Wed Mar 27 08:03:50 UTC 2024","Wed Mar 27 08:03:50 UTC 2024","252","firefox","prod - Version: 1.0.0, Commit: undefined","prod - guardian redirects > Misc redirects","","","Verify redirect for https://vpn.mozilla.org/r/vpn/terms, C1539676",""
"passed","Wed Mar 27 08:03:43 UTC 2024","Wed Mar 27 08:03:43 UTC 2024","340","firefox","stage - Version: 1.0.0, Commit: undefined","stage - guardian redirects > redirects for https://stage.guardian.nonprod.cloudops.mozgcp.net origin","","","Verify redirect for https://stage.guardian.nonprod.cloudops.mozgcp.net/r/vpn/invite/success, C1539667",""
"passed","Wed Mar 27 08:03:33 UTC 2024","Wed Mar 27 08:03:34 UTC 2024","359","chromium","prod - Version: 1.0.0, Commit: undefined","prod - guardian redirects > redirects for https://vpn.mozilla.org origin","","","Verify redirect for https://vpn.mozilla.org/r/vpn/invite/success, C1539667",""
"passed","Wed Mar 27 08:03:54 UTC 2024","Wed Mar 27 08:03:54 UTC 2024","579","firefox","prod - Version: 1.0.0, Commit: undefined","prod - guardian redirects > Misc redirects","","","Verify redirect for https://vpn.mozilla.org/r/vpn/account, C1539671",""
"passed","Wed Mar 27 08:03:40 UTC 2024","Wed Mar 27 08:03:40 UTC 2024","768","chromium","prod - Version: 1.0.0, Commit: undefined","prod - guardian redirects > Misc redirects","","","Verify redirect for https://vpn.mozilla.org/r/vpn/support, C1539673",""
"passed","Wed Mar 27 08:03:38 UTC 2024","Wed Mar 27 08:03:39 UTC 2024","277","chromium","stage - Version: 1.0.0, Commit: undefined","stage - guardian redirects > Misc redirects","","","Verify redirect for https://stage.guardian.nonprod.cloudops.mozgcp.net/r/vpn/account, C1539671",""
"passed","Wed Mar 27 08:03:35 UTC 2024","Wed Mar 27 08:03:37 UTC 2024","2509","chromium","stage - Version: 1.0.0, Commit: undefined","stage - guardian redirects > redirects for https://stage.guardian.nonprod.cloudops.mozgcp.net origin","","","Verify redirect for https://stage.guardian.nonprod.cloudops.mozgcp.net/r/vpn/subscribe, C1539668",""
"passed","Wed Mar 27 08:03:38 UTC 2024","Wed Mar 27 08:03:40 UTC 2024","1473","chromium","prod - Version: 1.0.0, Commit: undefined","prod - guardian redirects > Misc redirects","","","Verify redirect for https://vpn.mozilla.org/r/vpn/subscription, C1539672",""
"passed","Wed Mar 27 08:03:57 UTC 2024","Wed Mar 27 08:03:57 UTC 2024","381","firefox","stage - Version: 1.0.0, Commit: undefined","stage - guardian redirects > Misc redirects","","","Verify redirect for https://stage.guardian.nonprod.cloudops.mozgcp.net/r/vpn/support, C1539673",""
"passed","Wed Mar 27 08:03:40 UTC 2024","Wed Mar 27 08:03:41 UTC 2024","419","chromium","prod - Version: 1.0.0, Commit: undefined","prod - guardian redirects > Misc redirects","","","Verify redirect for https://vpn.mozilla.org/r/vpn/subscriptionBlocked, C1539674",""
"passed","Wed Mar 27 08:03:37 UTC 2024","Wed Mar 27 08:03:37 UTC 2024","197","chromium","stage - Version: 1.0.0, Commit: undefined","stage - guardian redirects > Misc redirects","","","Verify redirect for https://stage.guardian.nonprod.cloudops.mozgcp.net/r/vpn/client/feedback, C1539670",""
"passed","Wed Mar 27 08:03:51 UTC 2024","Wed Mar 27 08:03:51 UTC 2024","594","firefox","prod - Version: 1.0.0, Commit: undefined","prod - guardian redirects > download redirects","","","Verify redirect for https://vpn.mozilla.org/r/vpn/download/windows, C1539669",""
"passed","Wed Mar 27 08:03:33 UTC 2024","Wed Mar 27 08:03:33 UTC 2024","6","chromium","stage - Version: 1.0.0, Commit: undefined","stage - guardian redirects > redirects for https://stage.guardian.nonprod.cloudops.mozgcp.net origin","","","Verify redirect for https://stage.guardian.nonprod.cloudops.mozgcp.net/r/vpn/invite, C1539666",""
"passed","Wed Mar 27 08:03:36 UTC 2024","Wed Mar 27 08:03:37 UTC 2024","303","chromium","stage - Version: 1.0.0, Commit: undefined","stage - guardian redirects > download redirects","","","Verify redirect for https://stage.guardian.nonprod.cloudops.mozgcp.net/r/vpn/update/android, C1539669",""
"passed","Wed Mar 27 08:03:44 UTC 2024","Wed Mar 27 08:03:45 UTC 2024","516","firefox","stage - Version: 1.0.0, Commit: undefined","stage - guardian redirects > download redirects","","","Verify redirect for https://stage.guardian.nonprod.cloudops.mozgcp.net/r/vpn/download/linux, C1539669",""
"passed","Wed Mar 27 08:03:51 UTC 2024","Wed Mar 27 08:03:54 UTC 2024","2338","firefox","prod - Version: 1.0.0, Commit: undefined","prod - guardian redirects > download redirects","","","Verify redirect for https://vpn.mozilla.org/r/vpn/download/macos, C1539669",""
